# COLMAJOR    = 0
# T_MIN       = 5
#RUN    M     N  INCROW  INCCOL    GEMV_MKL    GEMV_ULM    GEMV_MAT    GEMV_MKL    GEMV_ULM    GEMV_MAT       DIFF2
#                                  (t in s)    (t in s)    (t in s)    (MFLOPS)    (MFLOPS)    (MFLOPS)           
 73  8300  8300    8300       1      0.0335      0.0589      0.0595  4116.9323   2337.5848   2314.7040      0.0000 
 74  8400  8400    8400       1      0.0342      0.0604      0.0617  4120.7040   2337.9162   2286.1440      0.0000 
 75  8500  8500    8500       1      0.0349      0.0617      0.0623  4136.7793   2340.9000   2317.7228      0.0000 
 76  8600  8600    8600       1      0.0357      0.0633      0.0649  4146.4652   2337.1360   2280.1897      0.0000 
 77  8700  8700    8700       1      0.0375      0.0649      0.0656  4040.8207   2331.2520   2308.1703      0.0000 
 78  8800  8800    8800       1      0.0374      0.0663      0.0678  4142.4990   2335.4921   2283.0916      0.0000 
 79  8900  8900    8900       1      0.0386      0.0678      0.0684  4102.5100   2335.2749   2316.8142      0.0000 
 80  9000  9000    9000       1      0.0392      0.0693      0.0710  4130.6773   2337.1541   2282.1429      0.0000 
 81  9100  9100    9100       1      0.0406      0.0708      0.0714  4074.7778   2337.7773   2318.6800      0.0000 
 82  9200  9200    9200       1      0.0410      0.0724      0.0740  4130.4320   2337.1992   2288.4771      0.0000 
 83  9300  9300    9300       1      0.0419      0.0738      0.0748  4126.7594   2343.1554   2313.3054      0.0000 
 84  9400  9400    9400       1      0.0430      0.0755      0.0775  4110.5845   2339.9684   2279.1270      0.0000 
 85  9500  9500    9500       1      0.0438      0.0771      0.0780  4118.5516   2341.8164   2314.1026      0.0000 
 86  9600  9600    9600       1      0.0450      0.0791      0.0806  4091.9040   2331.3202   2285.5680      0.0000 
 87  9700  9700    9700       1      0.0450      0.0805      0.0813  4177.5960   2338.3314   2314.9127      0.0000 
 88  9800  9800    9800       1      0.0469      0.0821      0.0842  4094.1355   2338.6986   2282.1386      0.0000 
 89  9900  9900    9900       1      0.0479      0.0838      0.0847  4091.8688   2338.2107   2313.0360      0.0000 
 90 10000 10000   10000       1      0.0487      0.0856      0.0872  4103.5857   2336.6337   2292.4901      0.0000 
